Embalagem,QtdProteinas
bucket,0
Bouteille,0
can,0
"Boîte carton",0
,0
Bote,0
sachet,0
Frais,0
Sachet,0
plastique,0
film,0
Frais,0
Card,0
" film ",0
Frais,0
Frais,0
Brique,0
Carton,0
Canette,0
Boîte,0
Bottle,0
sachet,0
Tin,0
Sachet,0
Frais,0
plastique,0
film,0
"21 PAP",0
Frais,0
can,0
bucket,0
,0
bucket,0
sachet,0
Boîte,0
Sachet,0
Bag,0
Boîte,0
Sachet,0
Sachet,0
Sachet,0
Boîte,0
label,0
Frais,0
Frais,0
Plastique,0
Frais,0
Canette,0
bucket,0
Bouteille,0
Sachet,0
barquette,0
Sachet,0
boîte,0
Sachet,0
Frai,0
Frais,0
Canette,0
Bouteille,0
box,0
Boîte,0
bowl,0
Sachet,0
boîte,0
Plastic,0
Sachet,0
Boîte,0
Sachet,0
Barquette,0
Frais,0
Plastique,0
Frai,0
jar,0
Frais,0
Canette,0
Frais,0
film,0
,0
Bouteille,0
,0
Sachet,0
Plastic,0
Sachet,0
Tin,0
Frais,0
jar,0
aluminium,0
Carton,0
Canette,0
Plastic,0
Card,0
" film ",0
Bouteille,0
"Boîte carton",0
Bote,0
Boîte,0
Sachet,0
barquette,0
Card,0
Brique,0
"Boîte carton",0
Bouteille,0
Barquette,0
Boîte,0
sachet,0
Tin,0
Sachet,0
Sachet,0
label,0
film,0
Jar,0
Frais,0
can,0
Bouteille,0
"Boîte carton",0
Boîte,0
Bouteille,0
Sachet,0
Boîte,0
Bouteille,0
"Boîte carton",0
bag,0
Frai,0
Frais,0
box,0
bucket,0
Bouteille,0
Boîte,0
Sachet,0
"Boîte carton",0
Sachet,0
bag,0
"Barquette wrap",0
Sachet,0
Jar,0
Frais,0
bucket,0
box,0
Canette,0
Bouteille,0
Bottle,0
box,0
Boîte,0
boîte,0
barquette,0
"tray ",0
Bote,0
Plastic,0
Sachet,0
Barquette,0
Frai,0
Canette,0
box,0
Card,0
,0
Bottle,0
Bouteille,0
Sachet,0
bag,0
Barquette,0
Frais,0
Sachet,0
jar,0
Carton,0
Box,0
" film ",0
"Boîte carton",0
bowl,0
Bouteille,0
Barquette,0
Bote,0
Boîte,0
bag,0
Boîte,0
barquette,0
Sachet,0
aluminium,0
Frais,0
plastique,0
bucket,0
,0
Barquette,0
Bottle,0
sachet,0
Boîte,0
sachet,0
Sachet,0
Tin,0
Sachet,0
label,0
Frais,0
Sachet,0
Frais,0
Carton,0
Canette,0
,0
"Barquette wrap",0
Box,0
sachet,0
Boîte,0
Sachet,0
Sachet,0
Frais,0
"21 PAP",0
Frais,0
Carton,0
box,0
,0
bucket,0
Bottle,0
box,0
"Sachet plastique",0
Boîte,0
Sachet,0
Sachet,0
boîte,0
Sachet,0
bag,0
"Barquette wrap",0
Frais,0
Sachet,0
Frais,0
Plastique,0
Jar,0
card,0
Frais,0
Frais,0
box,0
"tray ",0
Sachet,0
Sachet,0
bag,0
Frais,0
Barquette,0
Plastique,0
Frai,0
Carton,0
film,0
,0
Bouteille,0
Bottle,0
Bouteille,0
Sachet,0
Sachet,0
boîte,0
Plastic,0
sachet,0
Boîte,0
jar,0
Sachet,0
Frais,0
film,0
bucket,0
"Boîte carton",0
,0
Bouteille,0
Sachet,0
bag,0
Sachet,0
jar,0
Sachet,0
Frais,0
bucket,0
Frais,0
Card,0
Bouteille,0
can,0
Bouteille,0
sachet,0
Boîte,0
barquette,0
aluminium,0
Frais,0
Box,0
" film ",0
Frais,0
Brique,0
Canette,0
Boîte,0
Box,0
Boîte,0
Sachet,0
Sachet,0
barquette,0
Sachet,0
plastique,0
Jar,0
can,0
bucket,0
Carton,0
box,0
Bouteille,0
bucket,0
Bottle,0
Boîte,0
Bag,0
Boîte,0
Bouteille,0
Sachet,0
Sachet,0
"Barquette wrap",0
Frais,0
card,0
bucket,0
film,0
Bouteille,0
Bouteille,0
Sachet,0
Sachet,0
barquette,0
"Barquette wrap",0
Frais,0
Sachet,0
Plastique,0
Frai,0
"21 PAP",0
bucket,0
Bottle,0
box,0
bowl,0
boîte,0
Bouteille,0
barquette,0
Bote,0
boîte,0
Boîte,0
Frais,0
Barquette,0
"Sachet plastique",0
jar,0
Canette,0
film,0
" film ",0
bucket,0
